TITLE,Concanavalin A
DATA TYPE,
ORIGIN,PCDDB
OWNER,Andrew Miles
DATE,11/24/2004
TIME,
SPECTROMETER/DATA SYSTEM,
LOCALE,
RESOLUTION,
DELTAX,
XUNITS,NANOMETERS
YUNITS,delta epsilon
Y2UNITS,
Y3UNITS,
Y4UNITS,
FIRSTX,
LASTX,
NPOINTS,
FIRSTY,
MAXY,
MINY,
XYDATA,
279,3.18E-02
278,4.93E-02
277,-1.21E-02
276,-2.87E-03
275,-1.08E-02
274,-7.88E-03
273,-1.46E-02
272,-8.72E-03
271,1.05E-02
270,1.84E-02
269,7.58E-03
268,-3.29E-03
267,-1.88E-02
266,-1.84E-02
265,8.89E-04
264,1.39E-02
263,6.75E-03
262,2.18E-02
261,1.68E-02
260,2.15E-03
259,-1.13E-02
258,-3.39E-02
257,-4.86E-02
256,-3.35E-02
255,-3.85E-02
254,-2.34E-02
253,-3.23E-02
252,-3.31E-02
251,-2.39E-02
250,-3.52E-02
249,-6.67E-02
248,-6.84E-02
247,-8.65E-02
246,-9.24E-02
245,-9.24E-02
244,-1.21E-01
243,-1.58E-01
242,-1.89E-01
241,-2.32E-01
240,-2.76E-01
239,-3.17E-01
238,-3.72E-01
237,-4.26E-01
236,-4.99E-01
235,-5.79E-01
234,-6.67E-01
233,-8.08E-01
232,-9.80E-01
231,-1.18E+00
230,-1.40E+00
229,-1.59E+00
228,-1.77E+00
227,-1.95E+00
226,-2.10E+00
225,-2.20E+00
224,-2.25E+00
223,-2.25E+00
222,-2.21E+00
221,-2.14E+00
220,-2.06E+00
219,-1.99E+00
218,-1.93E+00
217,-1.85E+00
216,-1.73E+00
215,-1.57E+00
214,-1.38E+00
213,-1.19E+00
212,-1.00E+00
211,-7.84E-01
210,-5.47E-01
209,-2.75E-01
208,1.57E-02
207,3.13E-01
206,6.39E-01
205,9.77E-01
204,1.29E+00
203,1.69E+00
202,2.11E+00
201,2.65E+00
200,3.23E+00
199,3.82E+00
198,4.28E+00
197,4.58E+00
196,4.64E+00
195,4.45E+00
194,4.09E+00
193,3.56E+00
192,2.88E+00
191,2.24E+00
190,1.63E+00
189,1.03E+00
188,6.12E-01
187,1.86E-01
186,-2.38E-01
185,-5.72E-01
184,-9.70E-01
183,-1.35E+00
182,-1.65E+00
181,-1.99E+00
180,-2.30E+00
179,-2.56E+00
178,-2.88E+00
177,-3.03E+00
176,-3.17E+00
175,-3.29E+00
