TITLE,Myoglobin
DATA TYPE,
ORIGIN,PCDDB
OWNER,Andrew Miles
DATE,11/10/2004
TIME,
SPECTROMETER/DATA SYSTEM,
LOCALE,
RESOLUTION,
DELTAX,
XUNITS,NANOMETERS
YUNITS,delta epsilon
Y2UNITS,
Y3UNITS,
Y4UNITS,
FIRSTX,
LASTX,
NPOINTS,
FIRSTY,
MAXY,
MINY,
XYDATA,
279,5.40E-02
278,-1.06E-01
277,3.80E-02
276,-2.90E-02
275,3.72E-02
274,1.06E-02
273,2.05E-02
272,8.00E-02
271,8.23E-02
270,8.15E-02
269,9.30E-02
268,8.77E-02
267,2.66E-02
266,-4.36E-02
265,-3.90E-02
264,-5.89E-02
263,-2.84E-02
262,-1.61E-02
261,-5.36E-02
260,-7.65E-02
259,-7.43E-02
258,-9.19E-02
257,-3.16E-03
256,-7.75E-03
255,5.42E-02
254,5.20E-02
253,3.97E-02
252,-4.53E-02
251,-6.67E-02
250,-1.00E-01
249,-9.13E-02
248,-1.60E-01
247,-1.56E-01
246,-2.03E-01
245,-2.26E-01
244,-3.02E-01
243,-3.42E-01
242,-5.28E-01
241,-7.16E-01
240,-8.89E-01
239,-1.15E+00
238,-1.48E+00
237,-1.73E+00
236,-2.10E+00
235,-2.50E+00
234,-2.93E+00
233,-3.51E+00
232,-4.15E+00
231,-4.83E+00
230,-5.46E+00
229,-6.03E+00
228,-6.51E+00
227,-6.97E+00
226,-7.35E+00
225,-7.67E+00
224,-7.89E+00
223,-8.04E+00
222,-8.07E+00
221,-8.08E+00
220,-7.98E+00
219,-7.82E+00
218,-7.69E+00
217,-7.54E+00
216,-7.42E+00
215,-7.30E+00
214,-7.24E+00
213,-7.23E+00
212,-7.31E+00
211,-7.41E+00
210,-7.50E+00
209,-7.51E+00
208,-7.34E+00
207,-6.86E+00
206,-6.07E+00
205,-4.91E+00
204,-3.44E+00
203,-1.77E+00
202,1.77E-01
201,2.29E+00
200,4.65E+00
